torque,error,status,nano,time
42.6,0.0,0.0,338478111.0,2022-12-17 00:06:12
43.2,0.0,0.0,338500953.5,2022-12-17 00:06:13
43.8,0.0,0.0,338037473.0,2022-12-17 00:06:14
42.4,0.0,0.0,338080465.5,2022-12-17 00:06:15
43.6,0.0,0.0,338033095.5,2022-12-17 00:06:16
43.3,0.0,0.0,338010832.0,2022-12-17 00:06:17
41.7,0.0,0.0,338062526.0,2022-12-17 00:06:18
44.35,0.0,0.0,338043131.0,2022-12-17 00:06:19
43.45,0.0,0.0,338180825.5,2022-12-17 00:06:20
44.1,0.0,0.0,338230815.5,2022-12-17 00:06:21
45.35,0.0,0.0,338246348.0,2022-12-17 00:06:22
42.95,0.0,0.0,338345676.5,2022-12-17 00:06:23
45.6,0.0,0.0,338452480.0,2022-12-17 00:06:24
42.25,0.0,0.0,338984257.5,2022-12-17 00:06:25
43.6,0.0,0.0,338897479.5,2022-12-17 00:06:26
44.650000000000006,0.0,0.0,338152397.0,2022-12-17 00:06:27
42.3,0.0,0.0,338055835.5,2022-12-17 00:06:28
45.7,0.0,0.0,88094771.0,2022-12-17 00:06:29
41.85,0.0,0.0,338074207.5,2022-12-17 00:06:30
43.7,0.0,0.0,338089605.0,2022-12-17 00:06:31
44.900000000000006,0.0,0.0,338145079.5,2022-12-17 00:06:32
42.3,0.0,0.0,338248894.5,2022-12-17 00:06:33
44.4,0.0,0.0,88141194.0,2022-12-17 00:06:34
42.45,0.0,0.0,338333575.0,2022-12-17 00:06:35
43.05,0.0,0.0,338397375.5,2022-12-17 00:06:36
44.4,0.0,0.0,338470516.0,2022-12-17 00:06:37
42.45,0.0,0.0,338976826.5,2022-12-17 00:06:38
43.35,0.0,0.0,338950126.5,2022-12-17 00:06:39
43.0,0.0,0.0,338336036.5,2022-12-17 00:06:40
42.1,0.0,0.0,338140808.5,2022-12-17 00:06:41
45.05,0.0,0.0,338192455.0,2022-12-17 00:06:42
43.45,0.0,0.0,338187562.5,2022-12-17 00:06:43
43.8,0.0,0.0,338112463.5,2022-12-17 00:06:44
43.75,0.0,0.0,338238998.0,2022-12-17 00:06:45
41.55,0.0,0.0,338267674.5,2022-12-17 00:06:46
45.25,0.0,0.0,338325028.0,2022-12-17 00:06:47
42.8,0.0,0.0,338397163.0,2022-12-17 00:06:48
44.2,0.0,0.0,338473447.5,2022-12-17 00:06:49
45.1,0.0,0.0,338945945.5,2022-12-17 00:06:50
42.1,0.0,0.0,338573059.0,2022-12-17 00:06:51
45.75,0.0,0.0,338595313.5,2022-12-17 00:06:52
41.85,0.0,0.0,339219985.5,2022-12-17 00:06:53
44.25,0.0,0.0,338525699.5,2022-12-17 00:06:54
45.150000000000006,0.0,0.0,338302044.5,2022-12-17 00:06:55
43.0,0.0,0.0,338290549.0,2022-12-17 00:06:56
45.5,0.0,0.0,338316617.5,2022-12-17 00:06:57
43.3,0.0,0.0,338278051.5,2022-12-17 00:06:58
43.2,0.0,0.0,338197157.0,2022-12-17 00:06:59
44.0,0.0,0.0,338334127.0,2022-12-17 00:07:00
42.05,0.0,0.0,338399141.5,2022-12-17 00:07:01
43.900000000000006,0.0,0.0,338492380.0,2022-12-17 00:07:02
43.25,0.0,0.0,338457024.0,2022-12-17 00:07:03
42.05,0.0,0.0,338588872.5,2022-12-17 00:07:04
44.75,0.0,0.0,338721861.5,2022-12-17 00:07:05
42.9,0.0,0.0,338799020.0,2022-12-17 00:07:06
42.75,0.0,0.0,338857983.0,2022-12-17 00:07:07
44.3,0.0,0.0,338240149.0,2022-12-17 00:07:08
41.05,0.0,0.0,338291687.5,2022-12-17 00:07:09
45.6,0.0,0.0,338330033.5,2022-12-17 00:07:10
43.85,0.0,0.0,338384677.0,2022-12-17 00:07:11
42.95,0.0,0.0,338380094.5,2022-12-17 00:07:12
46.25,0.0,0.0,338335852.0,2022-12-17 00:07:13
42.3,0.0,0.0,338428758.0,2022-12-17 00:07:14
45.45,0.0,0.0,338451862.5,2022-12-17 00:07:15
43.900000000000006,0.0,0.0,338576013.0,2022-12-17 00:07:16
43.7,0.0,0.0,338687096.5,2022-12-17 00:07:17
46.5,0.0,0.0,339259042.0,2022-12-17 00:07:18
43.55,0.0,0.0,338709758.5,2022-12-17 00:07:19
45.1,0.0,0.0,339404812.0,2022-12-17 00:07:20
44.1,0.0,0.0,339228387.0,2022-12-17 00:07:21
42.85,0.0,0.0,338381504.5,2022-12-17 00:07:22
44.7,0.0,0.0,338424660.0,2022-12-17 00:07:23
42.55,0.0,0.0,338377387.0,2022-12-17 00:07:24
